time_s,gpu_total_MB,gpu_process_MB,cpu_rss_MB
316.7,11680.0,1839.0,0.9
317.84,11680.0,1839.0,0.9
318.93,11680.0,1839.0,0.9
321.5,11680.0,1839.0,0.9
322.55,11680.0,1839.0,0.9
323.64,11680.0,1839.0,0.9
324.71,11680.0,1839.0,0.9
325.77,11680.0,1839.0,0.9
326.87,11686.0,1845.0,0.9
329.21,11686.0,1845.0,0.9
330.35,11686.0,1845.0,0.9
331.45,11608.0,1767.0,0.9
332.56,11710.0,1869.0,0.9
333.72,11710.0,1869.0,0.9
335.91,11710.0,1869.0,0.9
337.05,11818.0,1977.0,0.9
338.15,11818.0,1977.0,0.9
339.28,11818.0,1977.0,0.9
340.43,11818.0,1977.0,0.9
343.57,11818.0,1977.0,0.9
344.67,11818.0,1977.0,0.9
345.79,11818.0,1977.0,0.9
346.84,11818.0,1977.0,0.9
347.97,11818.0,1977.0,0.9
350.77,11818.0,1977.0,0.9
351.95,11818.0,1977.0,0.9
353.05,11818.0,1977.0,0.9
354.15,11818.0,1977.0,0.9
355.27,11818.0,1977.0,0.9
356.85,11818.0,1977.0,0.9
357.94,11818.0,1977.0,0.9
359.03,11818.0,1977.0,0.9
360.09,11818.0,1977.0,0.9
361.18,11838.0,1997.0,0.9
362.27,11838.0,1997.0,0.9
364.25,11838.0,1997.0,0.9
365.44,11838.0,1997.0,0.9
366.58,11838.0,1997.0,0.9
367.66,11838.0,1997.0,0.9
368.77,11838.0,1997.0,0.9
369.88,11838.0,1997.0,0.9
372.25,11838.0,1997.0,0.9
373.35,11838.0,1997.0,0.9
374.51,11838.0,1997.0,0.9
375.64,11838.0,1997.0,0.9
376.72,11838.0,1997.0,0.9
378.99,11838.0,1997.0,0.9
380.11,11838.0,1997.0,0.9
381.22,11838.0,1997.0,0.9
382.35,11920.0,2079.0,0.9
383.45,11920.0,2079.0,0.9
384.82,11920.0,2079.0,0.9
386.71,11920.0,2079.0,0.9
387.8,11920.0,2079.0,0.9
388.88,11920.0,2079.0,0.9
389.96,11920.0,2079.0,0.9
391.03,11920.0,2079.0,0.9
393.12,11920.0,2079.0,0.9
394.21,11920.0,2079.0,0.9
395.3,11920.0,2079.0,0.9
396.37,11920.0,2079.0,0.9
397.44,11920.0,2079.0,0.9
398.5,11920.0,2079.0,0.9
400.75,11920.0,2079.0,0.9
401.89,11920.0,2079.0,0.9
402.97,11920.0,2079.0,0.9
404.07,11920.0,2079.0,0.9
405.18,11920.0,2079.0,0.9
408.12,11920.0,2079.0,0.9
409.22,11920.0,2079.0,0.9
410.34,11920.0,2079.0,0.9
411.43,11920.0,2079.0,0.9
412.59,11920.0,2079.0,0.9
415.11,11920.0,2079.0,0.9
416.17,11920.0,2079.0,0.9
417.22,11920.0,2079.0,0.9
418.34,11920.0,2079.0,0.9
419.4,11920.0,2079.0,0.9
422.66,12012.0,2171.0,0.9
423.76,12012.0,2171.0,0.9
424.85,12012.0,2171.0,0.9
425.93,12012.0,2171.0,0.9
427.02,12014.0,2173.0,0.9
429.91,12014.0,2173.0,0.9
430.99,12014.0,2173.0,0.9
432.16,12014.0,2173.0,0.9
433.25,12014.0,2173.0,0.9
434.37,12014.0,2173.0,0.9
436.47,12014.0,2173.0,0.9
437.55,12014.0,2173.0,0.9
438.63,12014.0,2173.0,0.9
439.67,12014.0,2173.0,0.9
440.77,12014.0,2173.0,0.9
441.85,12014.0,2173.0,0.9
443.94,12036.0,2195.0,0.9
445.04,12036.0,2195.0,0.9
446.12,12036.0,2195.0,0.9
447.27,12040.0,2199.0,0.9
448.34,12040.0,2199.0,0.9
451.06,12040.0,2199.0,0.9
452.1,12040.0,2199.0,0.9
453.2,12040.0,2199.0,0.9
454.32,12040.0,2199.0,0.9
455.45,12040.0,2199.0,0.9
458.31,12040.0,2199.0,0.9
459.44,12040.0,2199.0,0.9
460.55,12040.0,2199.0,0.9
461.68,12040.0,2199.0,0.9
462.81,12042.0,2201.0,0.9
465.51,12142.0,2301.0,0.9
466.61,12142.0,2301.0,0.9
467.71,12142.0,2301.0,0.9
468.8,12142.0,2301.0,0.9
469.89,12142.0,2301.0,0.9
472.54,12142.0,2301.0,0.9
473.64,12142.0,2301.0,0.9
474.72,12142.0,2301.0,0.9
475.9,12142.0,2301.0,0.9
477.01,12142.0,2301.0,0.9
479.79,12142.0,2301.0,0.9
480.89,12142.0,2301.0,0.9
481.97,12142.0,2301.0,0.9
483.06,12142.0,2301.0,0.9
484.16,12142.0,2301.0,0.9
486.86,12142.0,2301.0,0.9
487.99,12142.0,2301.0,0.9
489.09,12142.0,2301.0,0.9
490.22,12146.0,2305.0,0.9
491.33,12146.0,2305.0,0.9
493.07,12146.0,2305.0,0.9
494.17,12146.0,2305.0,0.9
495.24,12148.0,2307.0,0.9
496.3,12148.0,2307.0,0.9
497.4,12148.0,2307.0,0.9
498.51,12148.0,2307.0,0.9
501.03,12168.0,2327.0,0.9
502.25,12168.0,2327.0,0.9
503.37,12168.0,2327.0,0.9
